trial_type	image_path	onset	block	category	task_version	offset	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-135.jpg	26.3332813619636	3.0	bodies	alt	26.733913886826485	limb	limb-135.jpg	4.0	0.4006325248628855	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-74.jpg	26.83383603906259	3.0	bodies	alt	27.232961793895807	limb	limb-74.jpg	5.0	0.39912575483322144	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-100.jpg	27.33431075513363	3.0	bodies	alt	27.729215259198103	limb	limb-100.jpg	6.0	0.3949045040644705	False		
keypress		27.675808779895306			alt								OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-112.jpg	27.831906511913985	3.0	bodies	alt	28.2321943952702	limb	limb-112.jpg	7.0	0.4002878833562136	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-12.jpg	28.329141051042825	3.0	bodies	alt	28.734187411144376	limb	limb-12.jpg	8.0	0.4050463601015508	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-14.jpg	28.83283948991448	3.0	bodies	alt	29.234194790944454	limb	limb-14.jpg	9.0	0.4013553010299802	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-16.jpg	29.3160570031032	3.0	bodies	alt	29.71779502602294	limb	limb-16.jpg	10.0	0.40173802291974425	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-72.jpg	29.816532231867317	3.0	bodies	alt	30.217827335931357	limb	limb-72.jpg	11.0	0.40129510406404734	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-38.jpg	30.317219127900895	4.0	characters	alt	30.718260618858036	word	word-38.jpg	0.0	0.4010414909571409	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-129.jpg	30.815336609259248	4.0	characters	alt	31.21635284693912	word	word-129.jpg	1.0	0.40101623767986894	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-128.jpg	31.300117506179962	4.0	characters	alt	31.699906701222066	word	word-128.jpg	2.0	0.3997891950421035	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-40.jpg	31.799485830124468	4.0	characters	alt	32.19987646304071	word	word-40.jpg	3.0	0.4003906329162419	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-68.jpg	32.298769569024444	4.0	characters	alt	32.69963868195191	word	word-68.jpg	4.0	0.4008691129274666	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-7.jpg	32.79922059597448	4.0	characters	alt	33.19956172723323	word	word-7.jpg	5.0	0.4003411312587559	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-122.jpg	33.298578009940684	4.0	characters	alt	33.700373132247485	word	word-122.jpg	6.0	0.4017951223067939	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-88.jpg	33.78390115592629	4.0	characters	alt	34.18183173984289	word	word-88.jpg	7.0	0.3979305839166045	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-6.jpg	34.28379491623491	4.0	characters	alt	34.68211844097823	word	word-6.jpg	8.0	0.39832352474331856	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-143.jpg	34.78254341799766	4.0	characters	alt	35.183359812013805	word	word-143.jpg	9.0	0.40081639401614666	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-108.jpg	35.283255929127336	4.0	characters	alt	35.68327880417928	word	word-108.jpg	10.0	0.4000228750519455	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-31.jpg	35.781889773905284	4.0	characters	alt	36.18220679787918	word	word-31.jpg	11.0	0.40031702397391206	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-15.jpg	36.28247857000679	5.0	faces	alt	36.682922386098646	adult	adult-15.jpg	0.0	0.4004438160918653	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-51.jpg	36.76711580110714	5.0	faces	alt	37.16787126706914	adult	adult-51.jpg	1.0	0.4007554659619928	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-44.jpg	37.2664905609563	5.0	faces	alt	37.66610723687336	adult	adult-44.jpg	2.0	0.3996166759170592	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-123.jpg	37.76637042500079	5.0	faces	alt	38.166641736868776	adult	adult-123.jpg	3.0	0.40027131186798215	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-123.jpg	38.264970789197825	5.0	faces	alt	38.66610752698034	adult	adult-123.jpg	4.0	0.4011367377825081	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-6.jpg	38.745693110860884	5.0	faces	alt	39.15047102700919	adult	adult-6.jpg	5.0	0.40477791614830494	False		
keypress		38.68995819427072			alt							0.4249874050728977	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-143.jpg	39.2500595911406	5.0	faces	alt	39.650489272084094	adult	adult-143.jpg	6.0	0.4004296809434891	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-14.jpg	39.75021906988695	5.0	faces	alt	40.149498213082545	adult	adult-14.jpg	7.0	0.3992791431955993	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-35.jpg	40.24558768514544	5.0	faces	alt	40.64947033394128	adult	adult-35.jpg	8.0	0.4038826487958431	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-87.jpg	40.75081779388711	5.0	faces	alt	41.149368350859724	adult	adult-87.jpg	9.0	0.3985505569726229	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-105.jpg	41.247814206872135	5.0	faces	alt	41.6326895840466	adult	adult-105.jpg	10.0	0.3848753771744669	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-59.jpg	41.73267679708079	5.0	faces	alt	42.13317587412894	adult	adult-59.jpg	11.0	0.4004990770481527	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-123.jpg	42.23473158292472	6.0	places	alt	42.63183282501996	corridor	corridor-123.jpg	0.0	0.39710124209523207	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-70.jpg	42.73356341710314	6.0	places	alt	43.1332323551178	corridor	corridor-70.jpg	1.0	0.3996689380146563	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-16.jpg	43.23291606316344	6.0	places	alt	43.632672909181565	corridor	corridor-16.jpg	2.0	0.3997568460181356	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-22.jpg	43.73194553889335	6.0	places	alt	44.132459972985096	corridor	corridor-22.jpg	3.0	0.4005144340917468	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-132.jpg	44.214735195972025	6.0	places	alt	44.61751392111182	corridor	corridor-132.jpg	4.0	0.4027787251397967	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-54.jpg	44.71692943619564	6.0	places	alt	45.1151978042908	corridor	corridor-54.jpg	5.0	0.3982683680951595	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-117.jpg	45.21656134910882	6.0	places	alt	45.61571995401754	corridor	corridor-117.jpg	6.0	0.39915860490873456	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-98.jpg	45.71507061226293	6.0	places	alt	46.11493896599859	corridor	corridor-98.jpg	7.0	0.3998683537356556	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-41.jpg	46.200681298971176	6.0	places	alt	46.59881031885743	corridor	corridor-41.jpg	8.0	0.3981290198862553	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-10.jpg	46.69920156383886	6.0	places	alt	47.09973244415596	corridor	corridor-10.jpg	9.0	0.400530880317092	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-133.jpg	47.19956410117448	6.0	places	alt	47.599143174942576	corridor	corridor-133.jpg	10.0	0.3995790737681091	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-135.jpg	47.69884179998189	6.0	places	alt	48.09911753190681	corridor	corridor-135.jpg	11.0	0.4002757319249213	False		
rest		48.114810721948736	7.0	baseline	alt								
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-20.jpg	54.14888237183914	8.0	objects	alt	54.5488757849671	instrument	instrument-20.jpg	0.0	0.3999934131279588	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-121.jpg	54.6496538259089	8.0	objects	alt	55.04943425115197	instrument	instrument-121.jpg	1.0	0.3997804252430797	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-102.jpg	55.15010146424174	8.0	objects	alt	55.54975124495104	instrument	instrument-102.jpg	2.0	0.3996497807092965	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-80.jpg	55.64983279723674	8.0	objects	alt	56.04922940209508	instrument	instrument-80.jpg	3.0	0.3993966048583388	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-100.jpg	56.13416980719193	8.0	objects	alt	56.53354547405616	instrument	instrument-100.jpg	4.0	0.3993756668642163	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-52.jpg	56.632824769243605	8.0	objects	alt	57.033534925896674	instrument	instrument-52.jpg	5.0	0.4007101566530764	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-82.jpg	57.13300723489374	8.0	objects	alt	57.53272629622371	instrument	instrument-82.jpg	6.0	0.3997190613299608	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-81.jpg	57.63310573715717	8.0	objects	alt	58.0332074179314	instrument	instrument-81.jpg	7.0	0.4001016807742417	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-57.jpg	58.13140213582665	8.0	objects	alt	58.53206683089957	instrument	instrument-57.jpg	8.0	0.4006646950729191	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-127.jpg	58.63140426203609	8.0	objects	alt	59.032140735071145	instrument	instrument-127.jpg	9.0	0.4007364730350673	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-53.jpg	59.11593571305275	8.0	objects	alt	59.514044880867004	instrument	instrument-53.jpg	10.0	0.3981091678142548	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-88.jpg	59.61668338719754	8.0	objects	alt	60.016286286059774	instrument	instrument-88.jpg	11.0	0.3996028988622129	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-10.jpg	60.115905931219466	9.0	faces	alt	60.51642249897122	adult	adult-10.jpg	0.0	0.4005165677517653	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-105.jpg	60.615391503088176	9.0	faces	alt	61.014830249827355	adult	adult-105.jpg	1.0	0.3994387467391789	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-80.jpg	61.09912445722148	9.0	faces	alt	61.49905608920382	adult	adult-80.jpg	2.0	0.3999316319823265	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-2.jpg	61.5985848219134	9.0	faces	alt	62.00002818927169	adult	adult-2.jpg	3.0	0.4014433673582971	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-15.jpg	62.09937563119456	9.0	faces	alt	62.50033023906872	adult	adult-15.jpg	4.0	0.40095460787415504	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-89.jpg	62.59815720096231	9.0	faces	alt	62.999267407227315	adult	adult-89.jpg	5.0	0.4011102062650025	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-17.jpg	63.098034964874394	9.0	faces	alt	63.49788683606312	adult	adult-17.jpg	6.0	0.39985187118873	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-93.jpg	63.582718858029686	9.0	faces	alt	63.98243049625307	adult	adult-93.jpg	7.0	0.3997116382233799	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-94.jpg	64.08297086926177	9.0	faces	alt	64.48277879925446	adult	adult-94.jpg	8.0	0.3998079299926758	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-94.jpg	64.58021559426561	9.0	faces	alt	64.98164574522525	adult	adult-94.jpg	9.0	0.4014301509596408	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-20.jpg	65.08236600505188	9.0	faces	alt	65.48315106425434	adult	adult-20.jpg	10.0	0.4007850592024624	False		
keypress		65.20966972410679			alt							0.6294541298411787	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-45.jpg	65.57826089020817	9.0	faces	alt	65.98058926407248	adult	adult-45.jpg	11.0	0.4023283738642931	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-143.jpg	66.0817681089975	10.0	characters	alt	66.48119345214218	word	word-143.jpg	0.0	0.399425343144685	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-127.jpg	66.56351368594915	10.0	characters	alt	66.96672358503565	word	word-127.jpg	1.0	0.4032098990865052	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-76.jpg	67.06172968400642	10.0	characters	alt	67.46571065392345	word	word-76.jpg	2.0	0.4039809699170291	False		
