trial_type	image_path	onset	offset	block	task_version	category	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-72.jpg	35.28726367582567	35.68659107387065	4.0	alt	objects	instrument	instrument-72.jpg	10.0	0.3993273980449885	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-116.jpg	35.772567152977	36.16769709996879	4.0	alt	objects	instrument	instrument-116.jpg	11.0	0.3951299469918013	False		
rest		36.1892721450422		5.0	alt	baseline							
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-20.jpg	42.235022753011435	42.6370686069131	6.0	alt	bodies	limb	limb-20.jpg	0.0	0.4020458539016545	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-133.jpg	42.73635782301426	43.136459851870306	6.0	alt	bodies	limb	limb-133.jpg	1.0	0.400102028856054	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-126.jpg	43.22024771082215	43.617562769912176	6.0	alt	bodies	limb	limb-126.jpg	2.0	0.3973150590900332	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-78.jpg	43.71847723401152	44.11856833798811	6.0	alt	bodies	limb	limb-78.jpg	3.0	0.4000911039765924	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-8.jpg	44.22022330993787	44.6203145198524	6.0	alt	bodies	limb	limb-8.jpg	4.0	0.4000912099145353	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-124.jpg	44.719655161025	45.119757405947894	6.0	alt	bodies	limb	limb-124.jpg	5.0	0.4001022449228913	False		
keypress		44.93788674287497			alt							19.09988806489855	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-124.jpg	45.221078169997774	45.620415976969525	6.0	alt	bodies	limb	limb-124.jpg	6.0	0.3993378069717437	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-87.jpg	45.70517390500754	46.10684641986153	6.0	alt	bodies	limb	limb-87.jpg	7.0	0.40167251485399896	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-95.jpg	46.200583148980506	46.60621912381612	6.0	alt	bodies	limb	limb-95.jpg	8.0	0.4056359748356044	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-101.jpg	46.70403364882805	47.106044573010884	6.0	alt	bodies	limb	limb-101.jpg	9.0	0.40201092418283213	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-41.jpg	47.20293992897496	47.603677783859894	6.0	alt	bodies	limb	limb-41.jpg	10.0	0.4007378548849374	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-139.jpg	47.70357371587306	48.0888248810079	6.0	alt	bodies	limb	limb-139.jpg	11.0	0.38525116513483226	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-142.jpg	48.204788223840296	48.590296438895166	7.0	alt	faces	adult	adult-142.jpg	0.0	0.3855082150548697	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-62.jpg	48.687506556976594	49.08461068593897	7.0	alt	faces	adult	adult-62.jpg	1.0	0.3971041289623827	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-137.jpg	49.18453535297886	49.58864780003204	7.0	alt	faces	adult	adult-137.jpg	2.0	0.4041124470531941	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-134.jpg	49.687523560831316	50.08428704901598	7.0	alt	faces	adult	adult-134.jpg	3.0	0.3967634881846607	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-95.jpg	50.187668027821935	50.5881470828317	7.0	alt	faces	adult	adult-95.jpg	4.0	0.4004790550097823	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-117.jpg	50.671778304036714	51.07251462293789	7.0	alt	faces	adult	adult-117.jpg	5.0	0.4007363189011812	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-81.jpg	51.167283973889425	51.5710646728985	7.0	alt	faces	adult	adult-81.jpg	6.0	0.40378069900907576	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-13.jpg	51.67187087982893	52.067645221017294	7.0	alt	faces	adult	adult-13.jpg	7.0	0.3957743411883712	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-5.jpg	52.170493027893826	52.57098884391598	7.0	alt	faces	adult	adult-5.jpg	8.0	0.4004958160221577	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-26.jpg	52.66756819887087	53.07076044590213	7.0	alt	faces	adult	adult-26.jpg	9.0	0.40319224703125656	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-97.jpg	53.15414048288949	53.555254427948974	7.0	alt	faces	adult	adult-97.jpg	10.0	0.4011139450594783	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-97.jpg	53.65396912000142	54.0510516948998	7.0	alt	faces	adult	adult-97.jpg	11.0	0.39708257489837706	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-20.jpg	54.15546598494985	54.55460797599517	8.0	alt	characters	word	word-20.jpg	0.0	0.399141991045326	False		
keypress		54.1906651109457			alt							0.5366959909442812	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-130.jpg	54.65481422282755	55.05420558690094	8.0	alt	characters	word	word-130.jpg	1.0	0.3993913640733808	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-50.jpg	55.15180554287508	55.53436651383528	8.0	alt	characters	word	word-50.jpg	2.0	0.3825609709601849	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-133.jpg	55.653570102993406	56.037806419888504	8.0	alt	characters	word	word-133.jpg	3.0	0.3842363168951124	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-133.jpg	56.13842811994255	56.53418524400332	8.0	alt	characters	word	word-133.jpg	4.0	0.3957571240607649	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-48.jpg	56.63763088686392	57.037867100909345	8.0	alt	characters	word	word-48.jpg	5.0	0.4002362140454352	False		
keypress		56.78606838686392			alt							0.6476402669213712	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-57.jpg	57.13726154202596	57.538447006838396	8.0	alt	characters	word	word-57.jpg	6.0	0.40118546481244266	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-11.jpg	57.636149171041325	58.037799161858864	8.0	alt	characters	word	word-11.jpg	7.0	0.401649990817532	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-2.jpg	58.11807119986042	58.520844892831526	8.0	alt	characters	word	word-2.jpg	8.0	0.40277369297109533	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-143.jpg	58.62197525287046	59.02117396984249	8.0	alt	characters	word	word-143.jpg	9.0	0.3991987169720233	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-15.jpg	59.12196685792878	59.52073928480967	8.0	alt	characters	word	word-15.jpg	10.0	0.3987724268808961	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-114.jpg	59.619401501957334	60.019884375855334	8.0	alt	characters	word	word-114.jpg	11.0	0.4004828738979995	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-110.jpg	60.12011159583926	60.519804779905826	9.0	alt	places	corridor	corridor-110.jpg	0.0	0.39969318406656384	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-37.jpg	60.60194634785875	61.001919765025384	9.0	alt	places	corridor	corridor-37.jpg	1.0	0.3999734171666205	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-74.jpg	61.10527259297668	61.50458170589991	9.0	alt	places	corridor	corridor-74.jpg	2.0	0.3993091129232198	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-120.jpg	61.60534427291714	62.00579735985957	9.0	alt	places	corridor	corridor-120.jpg	3.0	0.4004530869424343	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-36.jpg	62.10565339284949	62.50590336695314	9.0	alt	places	corridor	corridor-36.jpg	4.0	0.4002499741036445	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-36.jpg	62.60343848983757	62.98740739398636	9.0	alt	places	corridor	corridor-36.jpg	5.0	0.3839689041487873	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-104.jpg	63.1014031318482	63.485036100028076	9.0	alt	places	corridor	corridor-104.jpg	6.0	0.3836329681798816	False		
keypress		63.022891477914534			alt							0.4194529880769551	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-39.jpg	63.58854578481987	63.986375395907096	9.0	alt	places	corridor	corridor-39.jpg	7.0	0.3978296110872179	False		
